Specific Humidity,Relative Humidity,Temperature,Precipitation
9.28,49.88,24.97,0.19
10.5,49.38,24.87,4.09
13.31,51.19,22.09,5.46
16.17,57.25,16.63,8.29
19.78,83,11.76,462.71
20.26,90.19,7.08,781.13
20.08,92.31,5.34,1203.09
19.71,90.12,9.22,361.3
18.43,82.69,12.62,180.18
14.83,76.06,16.95,0.49
12.21,69.38,17.77,12.23
